Year,County,"Estimated Sales, Thousands of Gallons"
2000,Seneca,14782
2000,Steuben,50135
2000,Suffolk,611449
2000,Sullivan,35564
2000,Tioga,19732
2000,Tompkins,34068
2000,Ulster,79841
2000,Warren,38908
2000,Washington,19883
2000,Wayne,40223
2000,Westchester,274791
2000,Wyoming,18764
2000,Yates,8217
2000,New York City,1165989
2000,Statewide Total,5639889
1999,Albany,158949
1999,Allegany,23632
1999,Broome,100705
1999,Cattaraugus,30222
1999,Cayuga,37957
1999,Chautauqua,47472
1999,Chemung,33921
1999,Chenango,21187
1999,Clinton,40595
1999,Columbia,37449
1999,Cortland,29942
1999,Delaware,17316
1999,Dutchess,109229
1999,Erie,403948
1999,Essex,20140
1999,Franklin,18392
1999,Fulton,20417
1999,Genesee,54292
1999,Greene,31201
1999,Hamilton,3635
1999,Herkimer,32148
1999,Jefferson,51419
1999,Lewis,13727
1999,Livingston,38780
1999,Madison,25642
1999,Monroe,303912
1999,Montgomery,35251
1999,Nassau,563340
1999,Niagara,71755
1999,Oneida,105862
1999,Onondaga,201285
1999,Ontario,58256
1999,Orange,145006
1999,Orleans,14834
1999,Oswego,59838
1999,Otsego,26851
1999,Putnam,39191
1999,Rensselaer,60462
1999,Rockland,57584
1999,St. Lawrence,40945
1999,Saratoga,83761
1999,Schenectady,64746
1999,Schoharie,12901
1999,Schuyler,8099
1999,Seneca,15192
1999,Steuben,49701
1999,Suffolk,647105
1999,Sullivan,37545
1999,Tioga,20316
1999,Tompkins,36141
1999,Ulster,80222
1999,Warren,37721
1999,Washington,20456
1999,Wayne,42175
1999,Westchester,264286
1999,Wyoming,18899
1999,Yates,9046
1999,New York City,1131514
1999,Statewide Total,5766518
1998,Albany,145182
1998,Allegany,20758
1998,Broome,103589
1998,Cattaraugus,28438
1998,Cayuga,37409
1998,Chautauqua,45952
1998,Chemung,33957
1998,Chenango,22637
1998,Clinton,38690
1998,Columbia,36004
1998,Cortland,29370
1998,Delaware,17305
1998,Dutchess,104901
1998,Erie,381306
1998,Essex,17933
1998,Franklin,17754
1998,Fulton,18693
1998,Genesee,50236
1998,Greene,28687
1998,Hamilton,3165
1998,Herkimer,29680
1998,Jefferson,51113
1998,Lewis,12258
1998,Livingston,36919
1998,Madison,22944
1998,Monroe,301102
1998,Montgomery,36234
1998,Nassau,561483
1998,Niagara,70751
1998,Oneida,103337
1998,Onondaga,201478
1998,Ontario,57026
1998,Orange,138709
1998,Orleans,15641
1998,Oswego,53860
